airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,8529
Indigo,2019-03-18,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No info,3342
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,13994
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10539
Indigo,2019-03-24,Banglore,New Delhi,08:30:00,11:30:00,180,0.0,No info,7303
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No info,15077
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No info,12284
Jet Airways,2019-05-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,5678
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,19:10:00,805,1.0,No info,27992
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No info,12093
Air Asia,2019-06-12,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No info,5192
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Indigo,2019-05-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,5054
Air India,2019-03-06,Mumbai,Hyderabad,05:05:00,16:55:00,710,2.0,No info,16697
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No info,9345
Indigo,2019-03-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,7295
Indigo,2019-04-15,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No info,4775
Indigo,2019-06-01,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No info,6442
Jet Airways,2019-04-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No info,13591
Indigo,2019-06-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,5755
Indigo,2019-04-27,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,4423
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Spicejet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,6356
Spicejet,2019-03-06,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No info,4622
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8529
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12898
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,7832
Air Asia,2019-06-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,3807
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No info,7927
Air India,2019-06-24,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,9404
Indigo,2019-05-21,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No info,7255
Air India,2019-05-18,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Indigo,2019-06-15,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3419
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No info,14571
Multiple Carriers,2019-06-01,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,11200
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Spicejet,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3597
Air India,2019-06-01,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No info,7480
Indigo,2019-06-15,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No info,6442
Indigo,2019-05-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,9476
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,7064
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No info,16704
Jet Airways,2019-04-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Multiple Carriers,2019-06-24,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,13797
Jet Airways,2019-03-24,Banglore,New Delhi,08:55:00,09:00:00,1445,1.0,In-flight meal not included,8147
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,9315
Indigo,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,7923
Indigo,2019-06-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,5883
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,No info,14231
